"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"55","Bien hâte de lire l'enquête de @LesEchos !
« #ParadisePapers » : révélations sur le patrimoine offshore de Bernard… https://t.co/Ru4cUlWyIk",FALSE,0,NA,2017-11-08 10:13:05,TRUE,NA,"928203715613425664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","QuentinDelorme",1,FALSE,FALSE,NA,NA
"56","RT @GLove39: Siri, show me a visual metaphor for tax avoidance
#ParadisePapers https://t.co/wVdSy7QtMZ",FALSE,0,NA,2017-11-08 10:13:05,FALSE,NA,"928203714531225600",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","15586gajm",44979,TRUE,FALSE,NA,NA
"57","#ParadisePapers Bernard Arnault première fortune de France aurait placé des actifs dans six paradis fiscaux différe… https://t.co/LH9jQ8AWOd",FALSE,0,NA,2017-11-08 10:13:05,TRUE,NA,"928203713356943360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","paul_efj",0,FALSE,FALSE,NA,NA
"58","RT @lemondefr: Info @lemondefr #ParadisePapers Comment Bernard Arnault a placé des actifs dans six paradis fiscaux différents #abos https:/…",FALSE,0,NA,2017-11-08 10:13:03,FALSE,NA,"928203708441223168",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","MicheleMido",19,TRUE,FALSE,NA,NA
"59","RT @ccarafyl: - <U+039A><U+03C5><U+03C1><U+03B9><U+03AC><U+03BA><U+03BF> p<U+03C9><U+03C2> e<U+03AF><U+03BD>a<U+03B9> <U+03BF> <U+03BA>af<U+03AD><U+03C2> ;
- <U+039A>a<U+03AF>e<U+03B9> µa<U+03BD>
#ParadisePapers https://t.co/pkUqGDohYE",FALSE,0,NA,2017-11-08 10:13:03,FALSE,NA,"928203707233259520",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","qyklops",60,TRUE,FALSE,NA,NA
"60","Le #néolibéralisme a débouché sur l'avènement d'une économie de parasites  #ParadisePapers ! Logique que les député… https://t.co/yrUQi2Pewz",FALSE,0,NA,2017-11-08 10:13:03,TRUE,NA,"928203707191300096",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","_stan76_",0,FALSE,FALSE,NA,NA
"61","RT @GLove39: Siri, show me a visual metaphor for tax avoidance
#ParadisePapers https://t.co/wVdSy7QtMZ",FALSE,0,NA,2017-11-08 10:13:02,FALSE,NA,"928203703982678017",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","strangedea",44979,TRUE,FALSE,NA,NA
"62","RT @shwetamedia: <U+0907><U+0924><U+0928><U+093E> <U+0938><U+091A> <U+092C><U+094B><U+0932> <U+0915><U+093F> <U+0939><U+094B><U+0902><U+091F><U+094B><U+0902> <U+0915><U+093E> <U+0924><U+092C><U+0938><U+094D><U+0938><U+0941><U+092E> <U+0928> <U+092C><U+0941><U+091D><U+0947> 
 #ParadisePapers #jayshah #shouryadoval #DeMoDisaster @rajuparulekar  https://t.c…",FALSE,0,NA,2017-11-08 10:13:02,FALSE,NA,"928203703361744896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnkitDhyani17",10,TRUE,FALSE,NA,NA
"63","RT @UKDemockery: Why is there so little coverage of tax avoidance allegations? The avoiders own the newspapers! #ParadisePapers
https://t.c…",FALSE,0,NA,2017-11-08 10:13:01,FALSE,NA,"928203699842936833",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BillNewsinger",2724,TRUE,FALSE,NA,NA
"64","RT @rbrooks45: As #ParadisePapers turns to developing countries, current @PrivateEyeNews/@FinUncovered story on ripping off Uganda through…",FALSE,0,NA,2017-11-08 10:13:01,FALSE,NA,"928203696537825280",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tomddumba",6,TRUE,FALSE,NA,NA
